Date,Product_ID,Product_Category,Sales_Amount,Quantity_Sold,Store_ID,Region,Customer_ID
2023-01-01 00:00:00,1038,Books,698.92,6,12,East,eadf4d18-9143-4012-990d-ef92ff5097fb
2023-01-01 01:00:00,1028,Electronics,172.93,1,12,South,099e087c-0cf7-4312-93d6-88ca23c1c819
2023-01-01 02:00:00,1014,Books,756.14,2,16,North,257f2a78-a0f9-4e15-83e4-a9f7b33ef9b5
2023-01-01 03:00:00,1042,Clothing,968.43,8,5,West,48d4b8a3-bb37-4e27-8946-cd3d7c221fcb
2023-01-01 04:00:00,1007,Books,781.76,4,16,South,0d401f60-71cc-4550-a979-acc0fd0f7863
2023-01-01 05:00:00,1020,Food,32.22,7,17,South,663400bc-1c8a-4f38-90a6-225e4c1ddbbb
2023-01-01 06:00:00,1038,Clothing,603.89,4,15,South,dadb4ae6-0a93-4bc6-bd84-2f6c1e3cecf4
2023-01-01 07:00:00,1018,Electronics,698.46,9,13,West,8a0e2cff-6f79-462a-a3ed-fa30d9365b21
2023-01-01 08:00:00,1022,Electronics,827.2,9,8,West,3456d838-3210-470f-a2a3-ee2ab7e6ca2c
2023-01-01 09:00:00,1010,Furniture,65.44,4,2,South,49ba4fd0-7b67-438b-bb67-ce12b9cd131b
2023-01-01 10:00:00,1010,Clothing,485.31,8,8,South,b47404a1-a056-4e63-a6c7-1986dae45fde
2023-01-01 11:00:00,1023,Furniture,540.02,6,10,North,23bd2f62-0af3-41be-84d1-25e74449be2b
2023-01-01 12:00:00,1035,Clothing,177.43,1,7,West,f457d2e7-2e2c-478b-962b-45943de0ab63
2023-01-01 13:00:00,1039,Clothing,329.23,7,10,South,51c12a16-b435-4c0d-9108-01452f02f318
2023-01-01 14:00:00,1023,Food,445.82,1,4,West,2f7643ea-9338-483f-b694-65b0bb8a31b2
2023-01-01 15:00:00,1002,Furniture,834.88,3,11,West,6047941e-4391-4142-98a8-7078c62e3536
2023-01-01 16:00:00,1021,Food,930.11,8,9,West,a0df44f7-eab9-48f9-bb63-6b37b2beb6f6
2023-01-01 17:00:00,1001,Clothing,632.14,9,4,North,f4c7fcea-1b44-4618-bf5d-3f843c8bf20c
2023-01-01 18:00:00,1023,Electronics,401.0,3,3,East,32213a17-1be4-444a-88fe-baf96fc05b2c
2023-01-01 19:00:00,1043,Clothing,261.49,1,11,West,f637be13-9239-4e2d-81c6-b1427d3654df
2023-01-01 20:00:00,1029,Food,982.31,1,3,West,61edbdb9-2e52-4069-8347-cb57746a58ac
2023-01-01 21:00:00,1037,Furniture,983.19,7,18,South,56f3a572-e550-4c72-baba-47920976846c
2023-01-01 22:00:00,1001,Furniture,925.73,5,19,West,820b60a2-a7a9-44c5-a371-b59d1c1a331e
2023-01-01 23:00:00,1020,Food,787.81,1,14,East,3f9b309a-38fd-4d7e-8e77-1149b17ce08a
2023-01-02 00:00:00,1032,Furniture,332.52,6,11,West,23dd7242-9b14-40d1-9fa1-4f2ae57ca9ab
2023-01-02 01:00:00,1011,Books,818.83,6,2,North,45ddc884-479c-4847-8ce7-ed262d40fe97
2023-01-02 02:00:00,1021,Electronics,414.71,4,2,South,d801b679-a445-40ae-a735-f8cee1068589
2023-01-02 03:00:00,1043,Electronics,333.51,7,2,East,7a7510e5-cc7f-46a4-b503-9cc1534145b1
2023-01-02 04:00:00,1024,Electronics,747.42,7,10,North,b7a3edbb-d929-4d9b-8a73-f3638ca4ba5a
2023-01-02 05:00:00,1048,Furniture,88.86,9,15,East,6be704ae-99ce-43c7-97c9-9c9a1f7ee07e
2023-01-02 06:00:00,1026,Furniture,58.08,1,12,South,069f522f-0011-4735-be1b-eaec676f3ecb
2023-01-02 07:00:00,1041,Clothing,453.47,5,11,West,c25f068a-504a-43b7-b23e-d8bd94472099
2023-01-02 08:00:00,1027,Clothing,451.18,3,17,South,731ed0b6-311b-47eb-afca-2714476a1ff8
2023-01-02 09:00:00,1015,Electronics,896.69,7,18,South,d719f8c1-7038-46e2-a508-1aba6a04735d
2023-01-02 10:00:00,1014,Books,134.89,4,14,West,adc52373-7c86-43cd-a29a-af851380e781
2023-01-02 11:00:00,1046,Clothing,132.05,4,17,North,c2fa81eb-793e-4550-8f29-3d08c28f2d07
2023-01-02 12:00:00,1043,Clothing,155.98,1,15,East,3d2b4176-f269-4b88-b1f2-710ef1bdea88
2023-01-02 13:00:00,1002,Furniture,39.44,1,12,North,9dd6403a-184e-45cc-8d87-8c209dc10134
2023-01-02 14:00:00,1036,Books,81.01,2,16,West,9c295323-bf76-4266-a211-21727ab6fd56
2023-01-02 15:00:00,1006,Electronics,663.27,2,6,East,b340281b-0a2c-4e1a-9978-5f6cef00d3bc
2023-01-02 16:00:00,1020,Clothing,437.27,1,2,West,be34cec5-bedd-4b58-b884-02319dbe2897
2023-01-02 17:00:00,1008,Books,765.97,8,2,North,43272ada-c1af-43af-8a15-1c182665d524
2023-01-02 18:00:00,1038,Books,992.67,6,16,South,411b034c-0075-4ea0-b247-b9e75b27f765
2023-01-02 19:00:00,1017,Electronics,662.44,6,2,East,e43bf498-8cae-4cef-a78c-1961157ec236
2023-01-02 20:00:00,1003,Books,59.95,9,8,West,f0b1df89-6d60-47f2-85bc-03be38c40c1b
2023-01-02 21:00:00,1024,Books,113.52,5,7,East,22375c36-9ed6-499b-a22d-03c0c8a074a2
2023-01-02 22:00:00,1013,Books,882.19,4,1,East,14451cb6-5673-4e28-9189-98f21ed7567b
2023-01-02 23:00:00,1049,Clothing,532.22,6,4,North,cc03a242-a98e-4672-a5bd-b96169205531
2023-01-03 00:00:00,1008,Electronics,826.59,8,11,South,588a4dbb-3242-4474-9897-9b581b7cf95e
2023-01-03 01:00:00,1025,Books,858.05,1,7,East,48d8e18e-784c-4250-a9f6-6340abf47b30
2023-01-03 02:00:00,1001,Books,928.4,7,18,North,b267b604-f0b9-4c35-b370-376205f61131
2023-01-03 03:00:00,1019,Clothing,950.33,8,4,East,cfabdcf8-8bcf-4c6a-a6f1-3bf65fc5d952
2023-01-03 04:00:00,1027,Electronics,559.28,9,17,South,965d1bf5-424e-4c4a-a7f1-7053c5fcb89f
2023-01-03 05:00:00,1046,Furniture,347.61,8,11,East,e45865a0-6b0c-42fc-b9f7-d9e8a281a8fe
2023-01-03 06:00:00,1006,Clothing,962.25,7,11,South,1b37a969-1602-497c-ba4c-45b262b4bdb4
2023-01-03 07:00:00,1043,Electronics,551.93,3,11,North,8db8bf12-d1e4-4444-8f26-95e5835efacc
2023-01-03 08:00:00,1007,Books,73.61,2,15,North,1d50b5fc-1ac6-4f59-9621-28d4f267d851
2023-01-03 09:00:00,1046,Electronics,646.35,3,14,South,55f113b5-9b42-4937-8efe-ef4fd84f68dc
2023-01-03 10:00:00,1034,Electronics,591.81,4,17,South,3857dfd2-768e-4547-8dd1-ca1a91f416bd
2023-01-03 11:00:00,1013,Electronics,896.83,4,2,North,b66ca2ae-2b05-4f17-a371-8a37ec4d5d15
